#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         322     1.16512     1.14213  0.00112891
         323     1.14369     1.14214  0.00112543
         324     1.16684     1.14221  0.00112454
         325     1.12837     1.14217  0.00112188
         326     1.18802     1.14231  0.00112722
         327     1.10554      1.1422  0.00112937
         328     1.14575     1.14221  0.00112598
         329     1.11924     1.14214  0.00112472
         330     1.12857      1.1421  0.00112206
         331     1.15794     1.14215  0.00111969
         332     1.11399     1.14206  0.00111953
         333     1.12538     1.14201  0.00111729
         334     1.13828       1.142    0.001114
         335     1.13364     1.14197  0.00111095
         336     1.19517     1.14213  0.00111887
         337     1.13147      1.1421    0.001116
         338     1.14412     1.14211  0.00111271
         339     1.15116     1.14213  0.00110975
         340     1.14039     1.14213   0.0011065
         341     1.12721     1.14209  0.00110412
         342     1.11513     1.14201   0.0011037
         343     1.12985     1.14197  0.00110105
         344     1.09021     1.14182  0.00110808
         345     1.12714     1.14178  0.00110569
         346     1.15854     1.14183  0.00110355
         347     1.13008     1.14179  0.00110089
         348     1.13195     1.14176  0.00109809
         349     1.12485     1.14172  0.00109601
         350      1.1372      1.1417  0.00109296
         351     1.14255     1.14171  0.00108985
         352      1.1354     1.14169   0.0010869
         353     1.13668     1.14167  0.00108391
         354     1.12595     1.14163  0.00108176
         355     1.13957     1.14162  0.00107873
         356     1.16422     1.14169  0.00107756
         357     1.20301     1.14186  0.00108815
         358      1.1598     1.14191  0.00108626
         359      1.1227     1.14185  0.00108456
         360     1.11254     1.14177   0.0010846
         361     1.15831     1.14182  0.00108256
         362     1.12707     1.14178  0.00108033
         363     1.13351     1.14176   0.0010776
         364     1.14516     1.14177  0.00107468
         365     1.13304     1.14174    0.001072
         366     1.15856     1.14179  0.00107006
         367     1.10188     1.14168  0.00107265
         368     1.12086     1.14162  0.00107123
         369      1.1328      1.1416  0.00106859
         370      1.1654     1.14166  0.00106764
         371     1.18913     1.14179   0.0010724
         372     1.18869     1.14192   0.0010769
         373     1.12666     1.14188  0.00107479
         374     1.17026     1.14195  0.00107459
         375     1.14846     1.14197  0.00107187
         376     1.17202     1.14205  0.00107199
         377     1.13759     1.14204  0.00106921
         378     1.13962     1.14203  0.00106641
         379     1.13465     1.14201  0.00106377
         380     1.16097     1.14206  0.00106214
         381     1.15898     1.14211  0.00106028
         382     1.12526     1.14206  0.00105842
         383     1.11286     1.14198   0.0010584
         384     1.14438     1.14199  0.00105566
         385     1.15021     1.14201  0.00105314
         386     1.10978     1.14193  0.00105371
         387     1.13671     1.14192  0.00105108
         388     1.12501     1.14187  0.00104927
         389      1.1398     1.14187  0.00104659
         390     1.15122     1.14189  0.00104418
         391     1.15505     1.14192  0.00104205
         392     1.15632     1.14196  0.00104004
         393      1.1551     1.14199  0.00103793
         394     1.15492     1.14203  0.00103581
         395     1.14828     1.14204  0.00103331
         396      1.1663      1.1421  0.00103252
         397     1.17142     1.14218  0.00103255
         398     1.14467     1.14218  0.00102998
         399     1.13589     1.14217  0.00102752
         400     1.15217     1.14219  0.00102525
         401     1.13455     1.14217  0.00102287
         402     1.14017     1.14217  0.00102034
         403     1.12891     1.14214  0.00101834
         404     1.15126     1.14216  0.00101607
         405     1.15972      1.1422  0.00101448
         406     1.14692     1.14221  0.00101205
         407     1.14195     1.14221  0.00100957
         408     1.17354     1.14229  0.00101001
         409     1.15682     1.14233  0.00100816
         410      1.1563     1.14236  0.00100628
         411     1.12935     1.14233  0.00100433
         412     1.12585     1.14229  0.00100269
         413     1.10799     1.14221  0.00100369
         414     1.13081     1.14218  0.00100165
         415     1.16058     1.14222  0.00100021
         416     1.14828     1.14224 0.000997916
         417     1.12329     1.14219 0.000996557
         418     1.14004     1.14219 0.000994186
         419     1.13509     1.14217 0.000991957
         420     1.11613     1.14211 0.000991531
         421     1.14178     1.14211 0.000989177
         422     1.13371     1.14209 0.000987033
         423     1.12729     1.14205 0.000985319
         424     1.15611     1.14208 0.000983553
         425     1.13453     1.14207 0.000981399
         426     1.14905     1.14208 0.000979232
         427     1.15132      1.1421 0.000977178
         428     1.13144     1.14208 0.000975212
         429     1.17404     1.14215 0.000975781
         430     1.14748     1.14217 0.000973591
         431     1.15484      1.1422 0.000971775
         432      1.1513     1.14222 0.000969755
         433      1.1356      1.1422 0.000967635
         434     1.16078     1.14224 0.000966352
         435     1.12925     1.14221 0.000964592
         436     1.15425     1.14224 0.000962775
         437     1.18146     1.14233 0.000964745
         438     1.19085     1.14244 0.000968882
         439     1.13345     1.14242 0.000966892
         440     1.13437      1.1424 0.000964867
         441     1.15343     1.14243 0.000963003
         442     1.11028     1.14236 0.000963567
         443     1.13239     1.14233 0.000961655
         444     1.13971     1.14233 0.000959507
         445     1.10874     1.14225 0.000960315
         446     1.15123     1.14227 0.000958373
         447     1.14498     1.14228 0.000956248
         448      1.1361     1.14227 0.000954212
         449     1.15953      1.1423 0.000952862
         450     1.16259     1.14235  0.00095181
         451     1.12746     1.14232 0.000950272
         452     1.12064     1.14227 0.000949379
         453     1.14489     1.14227   0.0009473
         454     1.11827     1.14222 0.000946688
         455      1.1315      1.1422 0.000944901
         456     1.15916     1.14223 0.000943561
         457     1.14147     1.14223 0.000941497
         458     1.16015     1.14227 0.000940254
         459      1.1735     1.14234 0.000940664
         460     1.12891     1.14231 0.000939072
         461     1.13838      1.1423 0.000937074
         462     1.17762     1.14238  0.00093816
         463      1.1358     1.14236 0.000936241
         464     1.12801     1.14233 0.000934734
         465     1.15855     1.14237 0.000933374
         466     1.11749     1.14231 0.000932897
         467     1.11913     1.14227  0.00093222
         468     1.15994      1.1423 0.000930993
         469     1.14183      1.1423 0.000929008
         470      1.1021     1.14222 0.000930962
         471     1.14275     1.14222 0.000928986
         472     1.14073     1.14221 0.000927023
         473     1.13499      1.1422 0.000925189
         474     1.11234     1.14214 0.000925379
         475     1.13938     1.14213 0.000923449
         476     1.15526     1.14216  0.00092192
         477     1.13816     1.14215 0.000920026
         478     1.11149     1.14209 0.000920334
         479     1.12969     1.14206 0.000918776
         480     1.17733     1.14213 0.000919796
         481     1.12625      1.1421 0.000918476
         482     1.13883     1.14209 0.000916596
         483     1.18065     1.14217 0.000918168
         484      1.1606     1.14221  0.00091706
         485     1.14195     1.14221 0.000915169
         486     1.13545      1.1422 0.000913392
         487     1.11213     1.14213 0.000913601
         488     1.17508      1.1422  0.00091422
         489     1.11669     1.14215 0.000913838
         490     1.13595     1.14214  0.00091206
         491      1.1081     1.14207 0.000912833
         492     1.16308     1.14211 0.000911976
         493     1.12734     1.14208 0.000910618
         494      1.1556     1.14211 0.000909186
         495     1.16888     1.14216 0.000908957
         496     1.11047      1.1421 0.000909366
         497      1.1505     1.14212 0.000907694
         498     1.15624     1.14214 0.000906314
         499     1.13234     1.14212 0.000904711
         500     1.16119     1.14216 0.000903705
