TEMP:             MU:          SIGMA: 
0.786796         1.08537        0.688422
0.785223        0.982419        0.608386
0.783652        0.690796        0.860116
0.782085          1.3846        0.560721
0.780521        0.211329        0.931728
0.77896        0.422905        0.838734
0.777402        0.703847        0.531163
0.775847        0.633226        0.424387
0.774295       0.0947019         0.57764
0.772747        0.584129         1.12572
0.771201        0.567836        0.980469
0.769659        0.352358        0.691028
0.768119         1.02322        0.580383
0.766583        0.895827         0.58586
0.76505        0.990033        0.847058
0.76352         0.71921        0.493439
0.761993         0.34397        0.728602
0.760469        0.828303        0.587059
0.758948        0.486663        0.417245
0.75743        0.313369        0.501064
0.755915        0.488396        0.451205
0.754403        0.507659        0.666833
0.752895        0.596975        0.760217
0.751389        0.577736        0.923186
0.749886         0.56852        0.863105
0.748386        0.139087         1.17413
0.746889         0.32731        0.805159
0.745396        0.682019        0.983516
0.743905        0.149114        0.873857
0.742417        0.516325        0.823102
0.740932        0.148785        0.769279
0.73945        0.373926        0.736008
0.737971        0.154143        0.942575
0.736496        0.126652         1.05207
0.735023        0.189611        0.999939
0.733552        0.580031        0.971604
0.732085         0.12207        0.995232
0.730621        0.315328        0.959452
0.72916         0.84343          1.0284
0.727702        0.321054        0.864565
0.726246        0.681852        0.566895
0.724794        0.432222        0.764667
0.723344         0.25973        0.954769
0.721897        0.016593         1.04853
0.720454        0.134846        0.876572
0.719013        0.909556         1.00753
0.717575        0.091238        0.902783
0.71614       0.0609937        0.636554
0.714707         0.32597        0.656959
0.713278        0.949008        0.663028
0.711851        0.332038        0.642394
0.710428        0.854145         0.97543
0.709007        0.586403        0.670082
0.707589        0.168597        0.899394
0.706174         0.60733        0.904115
0.704761        0.165116        0.916682
0.703352        0.317865        0.624339
0.701945        0.386512        0.694079
0.700541        0.341481        0.492368
0.69914        0.659054        0.970334
0.697742        0.416325         1.22542
0.696346         0.59511         0.80392
0.694954        0.186249        0.824387
0.693564        0.615352        0.928235
0.692177         0.74687         1.16852
0.690792         1.06557         1.25082
0.689411         0.74509         1.16413
0.688032        0.681938         1.20892
0.686656         1.15967        0.934843
0.685282        0.383831        0.772318
