TEMP:             MU:          SIGMA: 
1.80226        0.496054        0.560167
1.79866         1.02151         0.98649
1.79866         1.79747         1.26886
1.79866         1.03923         1.25082
1.79866         1.66098         1.04343
1.79866        0.862448         1.44013
1.79866         1.68402         1.01171
1.79866         1.42703         1.71459
1.79866        0.445158           1.319
1.79866         1.16246         1.44205
1.79866        0.316455         1.37228
1.79506        0.742001         1.05759
1.79506         1.39106         1.40338
1.79506         1.01793         1.25316
1.79506        0.786637         1.04225
1.79506        0.378235        0.733545
1.79506        0.076969        0.560809
1.79506        0.552198        0.315249
1.79506        0.153268        0.304967
1.79506      0.00856811        0.660169
1.79506        0.490673        0.801094
1.79147        0.219704        0.872155
1.79147        0.949899        0.614496
1.79147         1.11917        0.564427
1.79147         1.55995        0.264338
1.79147         1.55139         1.02131
1.79147         1.31397        0.506594
1.79147        0.592796        0.455122
1.79147        0.747451        0.763694
1.79147          1.2646         0.73607
1.79147         2.14304        0.526766
1.78789         1.81395        0.534049
1.78789         1.31962        0.360562
1.78789        0.924155        0.327602
1.78789         1.39417       0.0675333
1.78789        0.810891        0.491593
1.78789        0.261254        0.240931
1.78789         1.08974        0.560308
1.78789        0.504109        0.732477
1.78789        0.769324         1.06883
1.78789        0.535142         1.11932
1.78431         1.38732         1.22578
1.78431        0.810903        0.946397
1.78431         1.15427        0.878376
1.78431         1.35638        0.571755
1.78431         1.14832        0.812036
1.78431         2.02029        0.933307
1.78431        0.264897        0.933971
1.78431        0.947077         1.11638
1.78431        0.961294        0.986628
1.78431        0.628803         1.07127
1.78074         1.03166         1.28597
1.78074        0.914626         1.41079
1.78074         1.35672         1.28732
1.78074        0.662551         1.16674
1.78074         1.36045         1.56758
1.78074        0.604179         1.53839
1.78074         1.20311         1.59541
1.78074          0.6609         1.00127
1.78074        0.736244        0.954392
1.78074         1.41709        0.949214
1.77718        0.852122         1.38433
1.77718         1.05108        0.811845
1.77718       0.0558497         1.36843
1.77718        0.344232         1.10454
1.77718         0.43125        0.697112
1.77718       0.0565776         0.71385
1.77718        0.408786         1.14014
1.77718        0.249508           1.512
1.77718        0.889616         1.48876
1.77718         1.12607         1.36555
1.77363        0.606968         1.46425
1.77363        0.511851        0.893917
1.77363         1.34406        0.807483
1.77363        0.514035        0.600909
1.77363        0.946344        0.582295
1.77363        0.138626        0.525402
1.77363        0.552228        0.332981
1.77363        0.254151        0.737893
1.77363         0.23613        0.878667
1.77363        0.234794         1.19364
1.77008         1.00068         1.63576
1.77008        0.205077        0.773391
1.77008        0.170066        0.871542
1.77008      0.00556888          1.2099
1.77008        0.132613        0.853004
1.77008        0.388891        0.772585
1.77008        0.410407        0.489898
1.77008        0.447319         0.32295
1.77008        0.319727         0.82232
1.77008          1.1783        0.484038
1.76654          2.0002          0.6987
1.76654         1.52822        0.883087
1.76654         1.41993        0.645038
1.76654         1.51364        0.755287
1.76654         1.86059         1.01188
1.76654          2.0549        0.991689
1.76654         1.02238        0.298746
1.76654          1.4252        0.386114
1.76654        0.851361         0.37769
1.76654        0.548744        0.248906
1.76301          1.0856        0.150872
1.76301         1.50361        0.386565
1.76301         2.31826        0.498202
1.76301         1.90601        0.411796
1.76301         2.32954        0.142832
1.76301        0.712828        0.109603
1.76301        0.743438        0.261542
1.76301         1.14588        0.540011
1.76301        0.966585        0.245383
1.76301        0.904868        0.148787
1.75948        0.952947        0.400102
1.75948         1.23073        0.114648
1.75948        0.441684        0.686621
1.75948       0.0623397        0.528201
1.75948         0.20187        0.263953
1.75948        0.228017       0.0985001
1.75948        0.901952        0.566671
1.75948         1.50286        0.823765
1.75948        0.440373        0.283586
1.75948        0.434962        0.110484
1.75596         1.23772       0.0131263
1.75596         1.10035         0.25468
1.75596        0.338882        0.349174
1.75596        0.851884        0.123626
1.75596         0.36101        0.209732
1.75596        0.446365         0.58673
1.75596        0.424911        0.803077
1.75596         0.19106        0.832657
1.75596        0.330485         0.63321
1.75596        0.292339           0.848
1.75245        0.511933         1.02839
1.75245        0.660302         1.11085
1.75245        0.203567         1.33584
1.75245        0.161475         1.63856
1.75245        0.544063         1.23357
1.75245       0.0423751         1.04768
1.75245        0.454049        0.629555
1.75245        0.125156        0.414644
1.75245        0.979598         0.58742
1.75245        0.953557        0.638715
1.74895        0.182091        0.655851
1.74895        0.109749        0.537796
1.74895        0.140655        0.421925
1.74895       0.0353904        0.928465
1.74895        0.110768         1.24309
1.74895         0.40942        0.922177
1.74895        0.903721         1.32054
1.74895        0.156085         1.11454
1.74895        0.446427         1.53316
1.74895        0.277493         1.22903
1.74545       0.0347037         1.15338
1.74545        0.620164        0.943382
1.74545         0.20984        0.865009
1.74545        0.608178        0.770165
1.74545        0.118082        0.605651
1.74545        0.136439        0.511055
1.74545        0.405708        0.893146
1.74545        0.180805        0.579714
1.74545       0.0363861        0.354243
1.74545        0.474543        0.134802
1.74196        0.232539       0.0810863
1.74196        0.535204       0.0387247
1.74196        0.468903        0.143428
1.74196        0.726493        0.164205
1.74196        0.364813       0.0773756
1.74196        0.578285        0.443038
1.74196        0.247091        0.718647
1.74196        0.130652        0.649298
1.74196        0.616708        0.741334
1.74196         1.34345        0.917134
1.73847         0.92038         1.09629
1.73847        0.486359          1.0716
1.73847         1.29317          1.4704
1.73847         1.17033         1.01833
1.73847         1.10999         1.46861
1.73847         1.09964         1.09959
1.73847         1.57374         0.89215
1.73847         1.44158         1.16289
1.73847         0.85199         1.35866
1.73847        0.633924         1.18662
1.735        0.762653        0.884071
1.735         1.28103        0.861398
1.735         1.13874        0.837074
1.735        0.608073         1.16345
1.735        0.959376         1.58357
1.735         1.39226         1.49076
1.735       0.0417359         1.16567
1.735        0.729081        0.859196
1.735        0.702088          1.2042
1.735        0.626494         1.54409
1.73153         1.51324         1.20887
1.73153         1.63609         1.58662
1.73153         1.11703         1.26687
1.73153         1.30535          1.1621
1.73153        0.525579        0.853573
1.73153        0.145367         1.20642
1.73153        0.992212         1.45867
1.73153        0.764883         1.10235
1.73153        0.288335         1.14223
1.73153         0.22637        0.764436
1.72806       0.0626954        0.545412
1.72806       0.0975661        0.916563
1.72806        0.562628        0.800835
1.72806       0.0145437        0.591767
1.72806        0.167637         1.02185
1.72806        0.341607        0.723268
1.72806       0.0477028        0.995304
1.72806        0.177816         1.42084
1.72806        0.273395         1.01472
1.72806         1.01177        0.930719
1.72461         1.31403        0.576629
1.72461         1.97942        0.527116
1.72461         1.15101        0.836594
1.72461         1.50514        0.543094
1.72461         2.07339         0.51534
1.72461         1.41018        0.936535
1.72461         1.10766        0.761336
1.72461         1.80964         1.02878
1.72461         1.96506        0.716613
1.72461         1.46242        0.815798
1.72116         1.64401        0.640858
1.72116         1.17273        0.554073
1.72116         1.25982        0.347636
1.72116        0.656611        0.307125
1.72116        0.597833        0.234463
1.72116        0.726245        0.103937
1.72116        0.470991        0.404427
1.72116       0.0146687        0.707498
1.72116         0.12091        0.364226
1.72116        0.216112        0.467903
1.71772        0.782855         1.13009
1.71772        0.650105         0.56138
1.71772        0.803013         0.76929
1.71772       0.0774009        0.669323
1.71772         0.74282        0.765887
1.71772        0.485272        0.562637
1.71772         0.55885        0.773237
1.71772         1.23132        0.951549
1.71772         2.04951         1.07522
1.71772        0.788933        0.607338
1.71428        0.316336         0.34746
1.71428        0.900456        0.628597
1.71428         1.31584        0.945287
1.71428         1.04446        0.962702
1.71428         1.41619         1.34416
1.71428        0.901716        0.807678
1.71428         1.40734         1.00684
1.71428         1.17679         1.16129
1.71428         1.21157         1.00896
1.71428         1.54694        0.794847
1.71085         2.15761        0.602503
1.71085         1.55656         1.08022
1.71085         1.71735        0.433801
1.71085         1.10264       0.0546805
1.71085         2.11362        0.241802
1.71085         1.68632        0.219432
1.71085        0.865383        0.380353
1.71085        0.935942        0.552881
1.71085        0.269428        0.406227
1.71085        0.716325        0.153306
1.70743        0.372475        0.332927
1.70743         1.22444        0.125655
1.70743        0.296244        0.429103
1.70743        0.527992        0.610413
1.70743         1.21131        0.953858
1.70743        0.317434        0.318186
1.70743         0.48832        0.364817
1.70743        0.192029        0.717911
1.70743        0.458823        0.503711
1.70743       0.0276302          0.2844
1.70401        0.509797        0.477006
1.70401       0.0762389        0.687332
1.70401        0.163618        0.871508
1.70401        0.751919         1.18484
1.70401        0.345719        0.732131
1.70401        0.578593         1.03979
1.70401       0.0202364         0.98285
1.70401        0.354848        0.999522
1.70401       0.0245934         1.30835
1.70401        0.373007         1.59054
1.70061        0.659414         1.47138
1.70061          0.7566        0.922033
