TEMP:             MU:          SIGMA: 
0.451896        0.999927        0.678124
0.447377         1.17279        0.772325
0.447377         1.10543        0.687562
0.447377        0.969178        0.590632
0.442904        0.821053         0.64822
0.442904        0.776577        0.610864
0.442904        0.969623        0.525711
0.438475         1.01062        0.468088
0.438475         1.17822        0.604299
0.438475        0.784821        0.468013
0.43409        0.877828        0.376823
0.43409        0.895294        0.470787
0.43409         1.06808        0.577144
0.429749         1.19902        0.471836
0.429749         1.03584        0.569016
0.429749         1.04271        0.502541
0.425451        0.989009         0.52638
0.425451        0.884159         0.60371
0.425451        0.979953          0.5345
0.421197         1.15603        0.555294
0.421197        0.821067        0.450214
0.421197         0.87654        0.527088
0.416985        0.856179        0.622379
0.416985        0.840011        0.620395
0.416985         0.94673        0.712452
0.412815         1.07287        0.739701
0.412815         1.14625        0.827952
0.412815         1.27898        0.791855
0.408687         1.15447        0.803678
0.408687         1.05415        0.651336
0.408687        0.898096         0.69408
0.4046        0.885455        0.757411
0.4046        0.815777        0.846371
0.4046         1.00428        0.905979
0.400554        0.786262        0.899307
0.400554         0.98355        0.984881
0.400554        0.621079        0.900118
0.396549        0.558656        0.992706
0.396549         0.53817         1.05237
0.396549        0.392758         1.02357
0.392583        0.553983        0.927659
0.392583        0.746613        0.844291
0.392583        0.738318        0.899628
0.388657        0.845096        0.859463
0.388657        0.802354        0.893184
0.388657        0.847438        0.936346
0.384771        0.770142        0.861122
0.384771        0.900449        0.774618
0.384771         1.08704        0.691726
0.380923        0.944779        0.741015
0.380923         1.06792        0.819455
0.380923         1.03154        0.860753
0.377114        0.958104         0.90792
0.377114        0.991591        0.918629
0.377114        0.914991        0.915275
0.373343        0.733826        0.903087
0.373343        0.615366        0.994055
0.373343        0.534723        0.985498
0.369609        0.495493        0.975913
0.369609        0.636221        0.942209
0.369609        0.506742        0.888461
0.365913        0.685446        0.801623
0.365913        0.511678         0.71657
0.365913        0.555372        0.705594
0.362254         0.49729         0.64527
0.362254        0.395636        0.659815
0.362254        0.285198        0.627728
0.358631        0.297818        0.590717
0.358631        0.181615        0.528202
0.358631        0.118566        0.659281
0.355045       0.0346573        0.691783
0.355045        0.118012        0.663306
0.355045       0.0182685        0.689811
0.351495        0.116064        0.665868
0.351495       0.0541418        0.649094
0.351495         0.12944        0.600308
0.34798       0.0369785        0.599708
0.34798       0.0794766        0.638136
0.34798        0.121795        0.559773
0.3445        0.135694          0.4969
0.3445        0.265163        0.431063
0.3445        0.166236        0.449389
0.341055        0.277769        0.422687
0.341055        0.359976        0.462208
0.341055        0.459411        0.542883
0.337644        0.606547        0.596426
0.337644        0.609875        0.646046
0.337644        0.726589        0.607116
0.334268        0.693403        0.642653
0.334268        0.846086        0.563033
0.334268        0.951009        0.614039
0.330925        0.873459        0.591527
0.330925         1.00543        0.614167
0.330925        0.733334         0.60133
0.327616        0.811628        0.543431
0.327616        0.930087        0.606542
0.327616        0.980446        0.642235
0.32434        0.938233        0.603741
0.32434        0.864441        0.547964
0.32434        0.782193        0.516753
0.321096        0.868059        0.472384
