#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         466    0.895982    0.886857 0.000424699
         467    0.889025    0.886862 0.000423815
         468    0.887457    0.886863 0.000422912
         469    0.877646    0.886843 0.000422466
         470    0.891276    0.886853 0.000421673
         471    0.896389    0.886873 0.000421263
         472     0.89372    0.886887 0.000420621
         473     0.89322    0.886901 0.000419944
         474    0.887983    0.886903 0.000419065
         475    0.879673    0.886888 0.000418459
         476    0.898853    0.886913 0.000418334
         477    0.891311    0.886922 0.000417558
         478    0.884952    0.886918 0.000416705
         479    0.861389    0.886865  0.00041923
         480    0.890463    0.886872 0.000418423
         481    0.885676     0.88687 0.000417561
         482    0.890442    0.886877  0.00041676
         483    0.880886    0.886865 0.000416082
         484    0.901458    0.886895 0.000416313
         485    0.877664    0.886876  0.00041589
         486    0.894088    0.886891 0.000415299
         487    0.879576    0.886876 0.000414717
         488    0.879518    0.886861 0.000414142
         489    0.894132    0.886876 0.000413561
         490    0.887209    0.886876 0.000412718
         491    0.873534    0.886849 0.000412771
         492    0.904017    0.886884 0.000413404
         493     0.88292    0.886876 0.000412644
         494    0.887398    0.886877  0.00041181
         495    0.895667    0.886895 0.000411361
         496    0.895191    0.886911 0.000410871
         497    0.893819    0.886925  0.00041028
         498    0.886462    0.886924 0.000409457
         499     0.89403    0.886939 0.000408884
         500    0.897027    0.886959 0.000408564
