#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         368   -0.973819   -0.974144 1.86123e-05
         369   -0.974148   -0.974144 1.85618e-05
         370   -0.974433   -0.974145 1.85281e-05
         371   -0.974597   -0.974146 1.85182e-05
         372    -0.97308   -0.974143 1.86891e-05
         373    -0.97424   -0.974144 1.86407e-05
         374    -0.97415   -0.974144 1.85909e-05
         375   -0.974832   -0.974146 1.86318e-05
         376   -0.973856   -0.974145 1.85981e-05
         377   -0.973993   -0.974144 1.85532e-05
         378   -0.974051   -0.974144 1.85057e-05
         379   -0.974278   -0.974144 1.84603e-05
         380   -0.974345   -0.974145 1.84193e-05
         381   -0.974633   -0.974146 1.84153e-05
         382   -0.974137   -0.974146 1.83671e-05
         383   -0.973549   -0.974145 1.83853e-05
         384   -0.973631   -0.974143 1.83861e-05
         385   -0.973919   -0.974143 1.83475e-05
         386   -0.974142   -0.974143    1.83e-05
         387   -0.974192   -0.974143 1.82532e-05
         388    -0.97381   -0.974142 1.82263e-05
         389   -0.973926   -0.974142 1.81879e-05
         390   -0.974175   -0.974142 1.81414e-05
         391   -0.974031   -0.974141 1.80972e-05
         392   -0.973996   -0.974141 1.80549e-05
         393   -0.974094   -0.974141 1.80093e-05
         394   -0.974207   -0.974141 1.79644e-05
         395   -0.973775    -0.97414 1.79428e-05
         396   -0.974709   -0.974141  1.7955e-05
         397   -0.975015   -0.974144  1.8044e-05
         398   -0.974244   -0.974144 1.80005e-05
         399   -0.973629   -0.974143 1.80016e-05
         400   -0.974195   -0.974143 1.79571e-05
         401   -0.974529   -0.974144 1.79381e-05
         402   -0.974523   -0.974145 1.79183e-05
         403   -0.973973   -0.974144 1.78789e-05
         404   -0.974011   -0.974144 1.78377e-05
         405   -0.974409   -0.974145 1.78056e-05
         406   -0.972962   -0.974142 1.79986e-05
         407   -0.974182   -0.974142 1.79547e-05
         408   -0.974619   -0.974143 1.79487e-05
         409   -0.974652   -0.974144 1.79479e-05
         410   -0.973871   -0.974144 1.79165e-05
         411   -0.974621   -0.974145 1.79104e-05
         412    -0.97429   -0.974145 1.78704e-05
         413   -0.973958   -0.974145 1.78329e-05
         414   -0.974078   -0.974144 1.77906e-05
         415   -0.974341   -0.974145  1.7754e-05
         416   -0.973829   -0.974144 1.77276e-05
         417   -0.974158   -0.974144 1.76851e-05
         418   -0.973978   -0.974144 1.76473e-05
         419   -0.974483   -0.974145 1.76237e-05
         420   -0.974272   -0.974145 1.75844e-05
         421   -0.974259   -0.974145 1.75447e-05
         422   -0.974121   -0.974145 1.75032e-05
         423   -0.974499   -0.974146 1.74818e-05
         424   -0.974417   -0.974147 1.74523e-05
         425   -0.974335   -0.974147 1.74168e-05
         426   -0.973751   -0.974146 1.74007e-05
         427    -0.97469   -0.974147 1.74066e-05
         428   -0.974198   -0.974147 1.73663e-05
         429   -0.974101   -0.974147 1.73262e-05
         430   -0.974411   -0.974148 1.72967e-05
         431   -0.974481   -0.974149 1.72739e-05
         432   -0.974298   -0.974149 1.72373e-05
         433   -0.974025   -0.974149 1.71999e-05
         434   -0.973057   -0.974146 1.73432e-05
         435   -0.974189   -0.974146 1.73036e-05
         436    -0.97412   -0.974146  1.7264e-05
         437   -0.974017   -0.974146  1.7227e-05
         438    -0.97443   -0.974147 1.71999e-05
         439   -0.974381   -0.974147  1.7169e-05
         440   -0.973732   -0.974146 1.71558e-05
         441    -0.97448   -0.974147 1.71336e-05
         442   -0.974819   -0.974149 1.71621e-05
         443   -0.974378   -0.974149 1.71312e-05
         444   -0.974679    -0.97415 1.71342e-05
         445   -0.974503   -0.974151  1.7114e-05
         446   -0.974831   -0.974153 1.71434e-05
         447   -0.974626   -0.974154 1.71377e-05
         448   -0.974318   -0.974154 1.71034e-05
         449   -0.974627   -0.974155 1.70977e-05
         450   -0.974227   -0.974155 1.70605e-05
         451   -0.974262   -0.974155 1.70243e-05
         452   -0.974826   -0.974157 1.70512e-05
         453   -0.973908   -0.974156 1.70224e-05
         454   -0.973829   -0.974156 1.70001e-05
         455   -0.974674   -0.974157 1.70009e-05
         456   -0.974623   -0.974158 1.69943e-05
         457   -0.974426   -0.974158 1.69672e-05
         458   -0.973913   -0.974158 1.69387e-05
         459   -0.974078   -0.974158 1.69027e-05
         460   -0.973689   -0.974157 1.68966e-05
         461   -0.974239   -0.974157 1.68609e-05
         462   -0.974666   -0.974158 1.68604e-05
         463   -0.973664   -0.974157 1.68578e-05
         464   -0.973644   -0.974156 1.68577e-05
         465   -0.974132   -0.974156 1.68215e-05
         466    -0.97463   -0.974157 1.68161e-05
         467   -0.973866   -0.974156 1.67917e-05
         468   -0.974206   -0.974156 1.67561e-05
         469   -0.974493   -0.974157 1.67358e-05
         470   -0.974129   -0.974157 1.67003e-05
         471   -0.974154   -0.974157 1.66648e-05
         472   -0.973993   -0.974157 1.66331e-05
         473   -0.974372   -0.974157 1.66042e-05
         474    -0.97439   -0.974158 1.65765e-05
         475   -0.974083   -0.974157 1.65423e-05
         476   -0.974467   -0.974158 1.65204e-05
         477   -0.974907    -0.97416 1.65601e-05
         478   -0.974452    -0.97416 1.65368e-05
         479    -0.97402    -0.97416 1.65049e-05
         480   -0.974205    -0.97416 1.64707e-05
         481    -0.97354   -0.974159 1.64869e-05
         482   -0.974088   -0.974159 1.64534e-05
         483   -0.973845   -0.974158 1.64321e-05
         484   -0.974073   -0.974158 1.63991e-05
         485   -0.974214   -0.974158 1.63657e-05
         486   -0.974371   -0.974158 1.63379e-05
         487   -0.973869   -0.974158 1.63151e-05
         488   -0.973987   -0.974157 1.62854e-05
         489   -0.974208   -0.974157 1.62524e-05
         490   -0.974188   -0.974158 1.62194e-05
         491   -0.973461   -0.974156 1.62483e-05
         492   -0.974426   -0.974157 1.62245e-05
         493   -0.974048   -0.974156 1.61931e-05
         494   -0.973275   -0.974155 1.62584e-05
         495   -0.974846   -0.974156 1.62855e-05
         496   -0.974276   -0.974156 1.62544e-05
         497   -0.974467   -0.974157 1.62337e-05
         498    -0.97371   -0.974156 1.62259e-05
         499   -0.974047   -0.974156 1.61949e-05
         500   -0.974045   -0.974156  1.6164e-05
