#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         378     78.3113     78.9976    0.024013
         379     79.1364      78.998   0.0239524
         380     79.3005     78.9988   0.0239026
         381     79.2807     78.9995   0.0238513
         382     79.4408     79.0007   0.0238169
         383     79.2358     79.0013   0.0237626
         384     79.6023     79.0028   0.0237522
         385     79.5233     79.0042    0.023729
         386     79.5582     79.0056   0.0237108
         387     78.0862     79.0032   0.0237683
         388     79.4191     79.0043   0.0237312
         389     79.4199     79.0054   0.0236942
         390     78.8838     79.0051   0.0236355
         391     78.5017     79.0038   0.0236101
         392     79.3495     79.0047   0.0235663
         393     79.1661     79.0051   0.0235099
         394     78.8366     79.0046   0.0234542
         395     79.0586     79.0048   0.0233952
         396      78.999     79.0048   0.0233361
         397     78.8653     79.0044     0.02328
         398     79.7415     79.0063    0.023295
         399     79.1712     79.0067   0.0232403
         400     78.3335      79.005   0.0232431
         401     78.7512     79.0044   0.0231937
         402      79.251      79.005   0.0231441
         403     79.3487     79.0058   0.0231024
         404     78.6006     79.0048    0.023067
         405     79.6103     79.0063   0.0230584
         406     78.8865      79.006   0.0230035
         407     78.8562     79.0057     0.02295
         408     79.9411      79.008   0.0230079
         409     78.4747     79.0067   0.0229886
         410     79.2774     79.0073    0.022942
         411     78.6814     79.0065   0.0228999
         412     79.7389     79.0083   0.0229132
         413     78.6695     79.0075   0.0228724
         414     78.5037     79.0063   0.0228495
         415     79.6658     79.0079   0.0228496
         416     78.8988     79.0076   0.0227962
         417     78.5051     79.0064   0.0227734
         418     78.9208     79.0062   0.0227198
         419     79.4603     79.0073   0.0226914
         420     79.2379     79.0078    0.022644
         421     79.0596     79.0079   0.0225906
         422      79.473      79.009   0.0225639
         423     79.5134     79.0102   0.0225421
         424     79.3752     79.0111   0.0225053
         425     78.2445     79.0093   0.0225245
         426     78.7897     79.0088   0.0224776
         427     78.7422     79.0081   0.0224336
         428     78.6858     79.0074   0.0223938
         429     78.3959      79.006   0.0223869
         430     79.6128     79.0074   0.0223793
         431     79.1571     79.0077   0.0223301
         432     79.3645     79.0086   0.0222937
         433     79.4118     79.0095   0.0222616
         434     78.4881     79.0083   0.0222427
         435     78.2167     79.0065   0.0222659
         436     78.6025     79.0055   0.0222341
         437     79.7738     79.0073   0.0222526
         438     79.2938     79.0079   0.0222114
         439      79.514     79.0091   0.0221907
         440     79.0189     79.0091   0.0221403
         441     78.2413     79.0074   0.0221584
         442     78.2651     79.0057   0.0221718
         443     79.1827     79.0061   0.0221254
         444     79.5931     79.0074    0.022115
         445      79.219     79.0079   0.0220704
         446      79.994     79.0101   0.0221314
         447     79.6818     79.0116   0.0221329
         448     79.3668     79.0124   0.0220977
         449     78.7932     79.0119   0.0220538
         450     78.5578     79.0109   0.0220279
         451     79.4943      79.012   0.0220051
         452     79.1966     79.0124   0.0219602
         453     78.8601     79.0121   0.0219143
         454     78.9028     79.0118   0.0218674
         455     78.3003     79.0102   0.0218752
         456     80.0009     79.0124   0.0219348
         457     78.8952     79.0122   0.0218883
         458     79.0957     79.0123   0.0218413
         459     79.0045     79.0123   0.0217937
         460     78.5225     79.0113   0.0217723
         461     78.9061      79.011   0.0217263
         462     79.3496     79.0118   0.0216916
         463     79.1119      79.012   0.0216458
         464     79.0771     79.0121   0.0215996
         465     78.6395     79.0113   0.0215681
         466     79.1657     79.0117   0.0215243
         467     79.0413     79.0117   0.0214783
         468     78.1432     79.0099   0.0215125
         469     79.5465      79.011    0.021497
         470      78.936     79.0108   0.0214518
         471     79.2874     79.0114   0.0214143
         472     78.2516     79.0098   0.0214294
         473     78.9221     79.0096   0.0213849
         474     77.7608      79.007   0.0215015
         475     78.8491     79.0067   0.0214588
         476     79.9778     79.0087   0.0215105
         477     79.2433     79.0092    0.021471
         478     79.0047     79.0092   0.0214261
         479     78.4374      79.008   0.0214146
         480     78.4763     79.0069   0.0213986
