#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         487    0.333058    0.329334 0.000139721
         488    0.330334    0.329336  0.00013945
         489    0.328113    0.329334 0.000139187
         490    0.330689    0.329337 0.000138931
         491    0.335507    0.329349 0.000139215
         492    0.325001     0.32934 0.000139212
         493     0.32858    0.329339 0.000138938
         494    0.336531    0.329353 0.000139418
         495    0.324986    0.329345 0.000139415
         496    0.328175    0.329342 0.000139154
         497    0.327028    0.329338 0.000138952
         498    0.333208    0.329345  0.00013889
         499    0.331315    0.329349 0.000138668
         500    0.329185    0.329349 0.000138391
