#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         360   0.0363492 -0.00256094  0.00182105
         361  0.00869152 -0.00252977  0.00181627
         362    0.031345  -0.0024362  0.00181366
         363   -0.038292 -0.00253497  0.00181135
         364  0.00226554 -0.00252179  0.00180643
         365    -0.05811 -0.00267408  0.00180789
         366  -0.0146339 -0.00270676  0.00180324
         367  -0.0608393 -0.00286516  0.00180527
         368   0.0371188 -0.00275651  0.00180363
         369  -0.0459293 -0.00287351  0.00180254
         370   0.0385185 -0.00276164  0.00180113
         371  -0.0297039 -0.00283426  0.00179774
         372   0.0574241 -0.00267227  0.00180019
         373   0.0087975 -0.00264152  0.00179563
         374   0.0323619 -0.00254793  0.00179326
         375   0.0551116 -0.00239417  0.00179506
         376  -0.0141112 -0.00242533  0.00179056
         377   0.0198455 -0.00236626  0.00178678
         378  -0.0301208 -0.00243968  0.00178356
         379  0.00362432 -0.00242368  0.00177893
         380 -0.00225234 -0.00242323  0.00177425
         381  -0.0158502 -0.00245847  0.00176994
         382  -0.0439965 -0.00256721  0.00176864
         383  -0.0109393 -0.00258907  0.00176416
         384  0.00698096 -0.00256415  0.00175974
         385  0.00881086  -0.0025346  0.00175542
         386  -0.0198489 -0.00257946  0.00175145
         387  -0.0514919 -0.00270585  0.00175147
         388   0.0167373 -0.00265574  0.00174768
         389   0.0100124 -0.00262317  0.00174349
         390   0.0550761 -0.00247522  0.00174528
         391   0.0271462 -0.00239947  0.00174246
         392   0.0321897 -0.00231123  0.00174025
         393   0.0032142 -0.00229717  0.00173588
         394  -0.0220176 -0.00234722   0.0017322
         395   0.0207125 -0.00228884  0.00172879
         396  -0.0160659 -0.00232363  0.00172478
         397  -0.0155998 -0.00235707  0.00172076
         398  -0.0266876 -0.00241821  0.00171752
         399   0.0565696 -0.00227037  0.00171957
         400  -0.0226058  -0.0023212  0.00171602
         401   0.0276242 -0.00224653  0.00171336
         402  0.00209444 -0.00223573  0.00170913
         403   0.0397789 -0.00213147  0.00170807
         404   0.0544406 -0.00199145  0.00170957
         405   0.0392752 -0.00188955  0.00170839
         406   0.0038309 -0.00187546  0.00170424
         407  0.00670116 -0.00185439  0.00170018
         408  -0.0178496 -0.00189359  0.00169646
         409  0.00927996 -0.00186627  0.00169254
         410   0.0284441 -0.00179235  0.00169002
         411  0.00883282 -0.00176649  0.00168611
         412  -0.0324345 -0.00184093  0.00168366
         413  0.00292678 -0.00182939  0.00167962
         414   -9.77e-05  -0.0018252  0.00167557
         415   0.0287399 -0.00175155  0.00167315
         416 -0.00597524 -0.00176171  0.00166916
         417  -0.0285477 -0.00182594  0.00166639
         418  -0.0424436 -0.00192311  0.00166523
         419  0.00505214 -0.00190647  0.00166134
         420   0.0371657 -0.00181344  0.00165999
         421 -0.00208376 -0.00181408  0.00165605
         422   0.0100277 -0.00178602  0.00165236
         423   0.0132294 -0.00175052  0.00164884
         424  -0.0122588  -0.0017753  0.00164513
         425  -0.0243075 -0.00182832  0.00164212
         426  -0.0127027 -0.00185385  0.00163846
         427  -0.0509056 -0.00196872  0.00163864
         428  -0.0737057 -0.00213633  0.00164337
         429   -0.118893 -0.00240849  0.00166192
         430   0.0140308 -0.00237026  0.00165849
         431  -0.0198878 -0.00241091  0.00165514
         432  -0.0297517  -0.0024742  0.00165252
         433  0.00823248 -0.00244947  0.00164889
         434  0.00350208 -0.00243576  0.00164515
         435   0.0297357  -0.0023618  0.00164303
         436  -0.0325677 -0.00243108  0.00164072
         437   0.0151978 -0.00239074  0.00163746
         438  -0.0345092 -0.00246407  0.00163536
         439   0.0629115 -0.00231515   0.0016384
         440  -0.0184057 -0.00235172  0.00163509
         441  -0.0186413 -0.00238866   0.0016318
