#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         291    0.333141     0.32981 0.000239484
         292      0.3252    0.329794 0.000239184
         293    0.333083    0.329806 0.000238631
         294    0.330398    0.329808 0.000237827
         295     0.33342     0.32982 0.000237336
         296    0.329198    0.329818 0.000236544
         297    0.329702    0.329817 0.000235748
         298    0.335028    0.329835 0.000235604
         299    0.326131    0.329823 0.000235141
         300    0.332936    0.329833 0.000234587
         301    0.330584    0.329835 0.000233821
         302    0.331963    0.329842 0.000233152
         303    0.325582    0.329828 0.000232806
         304     0.32924    0.329826 0.000232049
         305    0.331741    0.329833 0.000231373
         306    0.332956    0.329843 0.000230842
         307    0.327356    0.329835 0.000230232
         308    0.335481    0.329853 0.000230213
         309    0.328098    0.329848 0.000229538
         310    0.331585    0.329853 0.000228866
         311    0.327324    0.329845 0.000228275
         312    0.331192    0.329849 0.000227584
         313    0.329561    0.329848 0.000226859
         314    0.326552    0.329838 0.000226379
         315    0.331413    0.329843 0.000225715
         316    0.323539    0.329823 0.000225881
         317    0.331567    0.329828 0.000225235
         318    0.320422    0.329799 0.000226461
         319    0.328669    0.329795 0.000225779
         320    0.330872    0.329799 0.000225098
         321    0.328713    0.329795 0.000224422
         322    0.331276      0.3298 0.000223772
         323     0.33018    0.329801 0.000223083
         324    0.324933    0.329786   0.0002229
         325    0.327035    0.329778 0.000222374
         326     0.33038    0.329779   0.0002217
         327    0.330113     0.32978 0.000221024
         328    0.331414    0.329785 0.000220407
         329    0.330855    0.329789 0.000219761
         330    0.331233    0.329793 0.000219138
         331     0.32556     0.32978 0.000218849
         332    0.329701     0.32978  0.00021819
         333        0.33    0.329781 0.000217536
         334    0.336126      0.3298 0.000217712
         335    0.335312    0.329816 0.000217683
         336    0.333031    0.329826 0.000217246
         337    0.325242    0.329812 0.000217026
         338    0.325744      0.3298 0.000216718
         339    0.333132     0.32981 0.000216301
         340    0.334402    0.329823 0.000216086
         341    0.331042    0.329827 0.000215482
         342    0.331929    0.329833  0.00021494
         343    0.325261     0.32982 0.000214726
         344    0.329961     0.32982 0.000214102
         345    0.330527    0.329822 0.000213491
         346    0.331299    0.329827 0.000212917
         347    0.331958    0.329833 0.000212392
         348    0.333639    0.329844 0.000212063
         349    0.325028     0.32983 0.000211904
         350    0.331835    0.329836 0.000211376
         351    0.331176    0.329839 0.000210808
         352    0.335578    0.329856 0.000210839
         353    0.325845    0.329844 0.000210548
         354    0.332865    0.329853 0.000210126
         355    0.334044    0.329865 0.000209865
         356    0.335845    0.329881 0.000209947
         357    0.329076    0.329879 0.000209371
         358    0.328083    0.329874 0.000208846
         359    0.331396    0.329878 0.000208308
         360     0.33316    0.329888 0.000207928
         361    0.321734    0.329865 0.000208575
         362    0.336501    0.329883 0.000208803
         363    0.326048    0.329873 0.000208495
         364    0.337803    0.329894 0.000209058
         365    0.328197     0.32989 0.000208537
         366    0.335057    0.329904 0.000208444
         367    0.328204    0.329899 0.000207928
         368    0.327167    0.329892 0.000207495
         369    0.329527    0.329891 0.000206935
         370    0.327819    0.329885 0.000206452
         371    0.339414    0.329911 0.000207487
         372     0.33343     0.32992 0.000207145
         373    0.323448    0.329903 0.000207315
         374    0.325489    0.329891 0.000207096
         375    0.322375    0.329871 0.000207512
         376    0.332208    0.329877 0.000207053
         377    0.328053    0.329873  0.00020656
         378    0.335907    0.329889  0.00020663
         379    0.329047    0.329886 0.000206096
         380    0.328146    0.329882 0.000205605
         381    0.325629    0.329871 0.000205368
         382    0.326313    0.329861 0.000205042
         383    0.327784    0.329856 0.000204578
         384    0.324569    0.329842 0.000204508
         385    0.325934    0.329832 0.000204229
         386    0.324047    0.329817 0.000204249
         387    0.335781    0.329832 0.000204301
         388    0.327338    0.329826 0.000203876
         389    0.326705    0.329818  0.00020351
         390    0.329468    0.329817  0.00020299
         391    0.333152    0.329826  0.00020265
         392    0.325503    0.329815 0.000202433
         393    0.330294    0.329816 0.000201921
         394    0.331043    0.329819 0.000201433
         395    0.329712    0.329819 0.000200923
         396    0.331907    0.329824 0.000200485
         397    0.329778    0.329824  0.00019998
         398    0.324433     0.32981 0.000199936
         399    0.330093    0.329811 0.000199436
         400    0.334085    0.329822 0.000199223
         401    0.330677    0.329824 0.000198738
         402    0.328013    0.329819 0.000198294
         403    0.328392    0.329816 0.000197834
         404    0.333524    0.329825 0.000197557
         405    0.323876     0.32981 0.000197615
         406    0.331912    0.329815 0.000197196
         407    0.330244    0.329816 0.000196714
         408    0.321362    0.329796  0.00019732
         409    0.332996    0.329804 0.000196993
         410    0.330062    0.329804 0.000196513
         411    0.329462    0.329803 0.000196037
         412    0.323769    0.329789 0.000196108
         413    0.333221    0.329797 0.000195809
         414    0.333999    0.329807 0.000195599
         415    0.320846    0.329786 0.000196316
         416    0.331146    0.329789 0.000195871
         417    0.331679    0.329793 0.000195454
         418    0.332804    0.329801 0.000195119
         419    0.327221    0.329794  0.00019475
         420    0.327587    0.329789 0.000194357
         421    0.329152    0.329788 0.000193902
         422    0.324581    0.329775 0.000193834
         423    0.325842    0.329766 0.000193599
         424    0.330069    0.329767 0.000193144
         425     0.33782    0.329786 0.000193616
         426    0.332721    0.329793 0.000193284
         427    0.328827     0.32979 0.000192845
         428    0.335124    0.329803 0.000192797
         429    0.336689    0.329819 0.000193014
         430    0.325148    0.329808 0.000192871
         431    0.328432    0.329805  0.00019245
         432    0.325841    0.329796 0.000192223
         433    0.325484    0.329786 0.000192037
         434    0.331255    0.329789 0.000191624
         435    0.336928    0.329805 0.000191885
         436    0.333871    0.329815 0.000191671
         437    0.324841    0.329803  0.00019157
         438    0.327656    0.329798 0.000191196
         439    0.324513    0.329786 0.000191139
         440    0.328932    0.329784 0.000190714
         441    0.337798    0.329803 0.000191145
         442    0.334914    0.329814 0.000191063
         443    0.328045     0.32981 0.000190673
